id,title,country,year,star,score,duration,director,actors
1,罗小黑战记,中国大陆,2019,45,8.4,101分钟,木头,山新 / 郝祥海 / 刘明月
2,徒手攀岩,美国,2018,45,9.0,100分钟,伊丽莎白·柴·瓦沙瑞莉 金国威,亚历克斯·霍诺德 / 汤米·考德威尔 / 金国威
3,小小的愿望,中国大陆,2019,00,0,107分钟,田羽生,彭昱畅 / 王大陆 / 魏大勋
4,巨鳄风暴,美国,2019,35,6.5,87分钟,亚历山大·阿嘉,卡雅·斯考达里奥 / 巴里·佩珀 / 罗斯·安德森
5,花椒之味,中国香港 中国大陆,2019,40,7.4,118分钟,麦曦茵,郑秀文 / 赖雅妍 / 李晓峰
6,诛仙 Ⅰ,中国大陆,2019,00,0,未知,程小东,肖战 / 李沁 / 孟美岐
7,最长一枪,中国大陆 澳大利亚,2019,35,6.2,125分钟,徐顺利,王志文 / 余男 / 李立群
8,检察方的罪人,日本,2018,35,7.0,123分钟,原田真人,木村拓哉 / 二宫和也 / 吉高由里子
9,名侦探柯南：绀青之拳,日本,2019,35,6.6,110分钟,永冈智佳,高山南 / 山口胜平 / 山崎和佳奈
10,哪吒之魔童降世,中国大陆,2019,45,8.6,110分钟,饺子,吕艳婷 / 囧森瑟夫 / 瀚墨
11,速度与激情：特别行动,美国,2019,35,6.4,137分钟,大卫·雷奇,道恩·强森 / 杰森·斯坦森 / 伊德里斯·艾尔巴
12,骡子,美国,2018,40,7.9,112分钟(中国大陆),克林特·伊斯特伍德,克林特·伊斯特伍德 / 布莱德利·库珀 / 劳伦斯·菲什伯恩
13,宝莱坞机器人2.0：重生归来,印度,2018,30,5.7,108分钟(中国大陆),S·尚卡尔,拉吉尼坎塔 / 阿克谢·库玛尔 / 艾米·杰克逊
14,一生只为一事来,中国大陆,2019,00,0,108分钟,张亚海,穆婷婷 / 谭凯 / 巩汉林
15,小Q,中国大陆 中国香港,2019,40,7.3,107分钟,罗永昌,任达华 / 梁咏琪 / 罗仲谦
16,送我上青云,中国大陆,2019,40,7.3,99分钟,滕丛丛,姚晨 / 袁弘 / 李九霄
17,冷血追击,英国 挪威 加拿大 美国 法国 德国,2019,35,6.7,114分钟(中国大陆),汉斯·皮特·莫朗,连姆·尼森 / 劳拉·邓恩 / 米切尔·理查德森
18,一切如你,中国大陆,2019,00,0,85分钟,黄宏 黄兆函 傅绍杰 张楠 李譞,于蓝 / 于洋 / 秦怡
19,烈火英雄,中国大陆,2019,35,6.7,120分钟,陈国辉,黄晓明 / 杜江 / 谭卓
20,零零后,中国大陆,2019,35,6.8,89分钟,张同道,池亦洋 / 王思柔
21,深夜食堂,中国大陆,2019,30,5.3,90分钟,梁家辉,梁家辉 / 魏晨 / 焦俊艳
22,拿摩一等,中国大陆,2018,00,0,98分钟,阿年,杨玏 / 归亚蕾 / 邱林
23,逗爱熊仁镇,中国大陆,2019,30,5.4,102分钟,查慕春,朱亚文 / 张榕容 / 王亮
24,使徒行者2：谍影行动,中国大陆 中国香港,2019,35,6.5,98分钟,文伟鸿,张家辉 / 古天乐 / 吴镇宇
25,铤而走险,中国大陆,2019,35,6.3,100分钟,甘剑宇,大鹏 / 欧豪 / 李梦
26,沉默的证人,中国大陆 中国香港,2019,30,5.7,94分钟,雷尼·哈林,张家辉 / 杨紫 / 任贤齐
27,死寂逃亡,德国 美国,2019,30,5.4,90分钟,约翰·R·莱昂耐迪,琪兰·席普卡 / 斯坦利·图齐 / 米兰达·奥图
28,童童的风铃密室,中国大陆,2019,00,0,85分钟,刘宁,陈法蓉 / 郑佩佩 / 安泽豪
29,福星高照朱小八,中国大陆,2019,00,0,84分钟,杨加助 潘斌,王愫稣 / 王晓彤 / 贾邱
30,愤怒的小鸟2,芬兰 美国,2019,40,7.2,96分钟,图鲁普·范·奥尔曼,杰森·苏戴奇斯 / 比尔·哈德尔 / 乔什·加德
31,保持沉默,中国大陆,2019,30,5.8,96分钟,周可,周迅 / 吴镇宇 / 祖峰
32,女王的柯基,比利时,2019,30,5.7,85分钟,文森特·凯斯特鲁特 本·斯塔森,鲁斯蒂·沙克尔福特 / 乔·怀亚特 / 利奥·巴拉卡特
33,古田军号,中国大陆,2019,35,6.6,120分钟,陈力,王仁君 / 王志飞 / 刘智扬
34,红星照耀中国,中国大陆,2019,30,5.9,109分钟,王冀邢,柯南·何裴 / 王鹏凯 / 李雪健
35,银河补习班,中国大陆,2019,35,6.3,147分钟,邓超 俞白眉,邓超 / 白宇 / 任素汐
36,六连煞,中国大陆,2019,00,0,109分钟,徐超,黄璐 / 王泷正 / 刘霖
37,樵夫·廖俊波,中国大陆,2019,00,0,100分钟,宁敬武,郭广平 / 陶红 / 戴卓凝
38,八子,中国大陆,2019,20,4.2,120分钟,高希希,刘端端 / 邵兵 / 岳红
